datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
9/13/2020 3:00:00 PM,9/13/2020 11:00:00 AM,SOUTH,657.593
9/13/2020 3:00:00 PM,9/13/2020 11:00:00 AM,WEST,72.033
9/13/2020 3:00:00 PM,9/13/2020 11:00:00 AM,RTO,1151.982
9/13/2020 3:00:00 PM,9/13/2020 11:00:00 AM,RFC,494.389
9/13/2020 2:00:00 PM,9/13/2020 10:00:00 AM,MIDATL,460.918
9/13/2020 2:00:00 PM,9/13/2020 10:00:00 AM,SOUTH,625.889
9/13/2020 2:00:00 PM,9/13/2020 10:00:00 AM,WEST,61.569
9/13/2020 2:00:00 PM,9/13/2020 10:00:00 AM,RTO,1148.376
9/13/2020 2:00:00 PM,9/13/2020 10:00:00 AM,RFC,522.487
9/13/2020 1:00:00 PM,9/13/2020 9:00:00 AM,MIDATL,398.844
9/13/2020 1:00:00 PM,9/13/2020 9:00:00 AM,SOUTH,623.759
9/13/2020 1:00:00 PM,9/13/2020 9:00:00 AM,WEST,48.310
9/13/2020 1:00:00 PM,9/13/2020 9:00:00 AM,RTO,1070.913
9/13/2020 1:00:00 PM,9/13/2020 9:00:00 AM,RFC,447.154
9/13/2020 12:00:00 PM,9/13/2020 8:00:00 AM,MIDATL,238.429
9/13/2020 12:00:00 PM,9/13/2020 8:00:00 AM,SOUTH,462.175
9/13/2020 12:00:00 PM,9/13/2020 8:00:00 AM,WEST,25.693
9/13/2020 12:00:00 PM,9/13/2020 8:00:00 AM,RTO,726.297
9/13/2020 12:00:00 PM,9/13/2020 8:00:00 AM,RFC,264.122
9/13/2020 11:00:00 AM,9/13/2020 7:00:00 AM,MIDATL,63.982
9/13/2020 11:00:00 AM,9/13/2020 7:00:00 AM,SOUTH,108.897
9/13/2020 11:00:00 AM,9/13/2020 7:00:00 AM,WEST,5.770
9/13/2020 11:00:00 AM,9/13/2020 7:00:00 AM,RTO,178.649
9/13/2020 11:00:00 AM,9/13/2020 7:00:00 AM,RFC,69.752
9/13/2020 10:00:00 AM,9/13/2020 6:00:00 AM,MIDATL,0.939
9/13/2020 10:00:00 AM,9/13/2020 6:00:00 AM,SOUTH,-1.667
9/13/2020 10:00:00 AM,9/13/2020 6:00:00 AM,WEST,-0.198
9/13/2020 10:00:00 AM,9/13/2020 6:00:00 AM,RTO,-0.925
9/13/2020 10:00:00 AM,9/13/2020 6:00:00 AM,RFC,0.741
9/13/2020 9:00:00 AM,9/13/2020 5:00:00 AM,MIDATL,-0.242
9/13/2020 9:00:00 AM,9/13/2020 5:00:00 AM,SOUTH,-1.833
9/13/2020 9:00:00 AM,9/13/2020 5:00:00 AM,WEST,-0.203
9/13/2020 9:00:00 AM,9/13/2020 5:00:00 AM,RTO,-2.278
9/13/2020 9:00:00 AM,9/13/2020 5:00:00 AM,RFC,-0.445
9/13/2020 8:00:00 AM,9/13/2020 4:00:00 AM,MIDATL,-0.201
